,tweet
160,I’ve been to Israel 🇮🇱 5 times I am one of the biggest supporters of the Australian Jewish community 🇦🇺🔯 and Israel🇮🇱 I smash neo-Nazis You’re really messed up Alex please stop
161,You’re a very disturbed kid Go to bed
162,I’m no Catholic a less than ideal Protestant actually who has been to synagogue more than church in the last 2 years I’m not sure what you’re trying to say  basically I think your family has relevance deprivation  it would be best for your old man’s legacy if you shut up
163,Omg even mummy LucyTurnbull_AO is liking your rubbish  you have no mates you’re a flog thank goodness mummy backs you up It’s all too funny for words 😂 you lot really are quite odd and your moment has passed 👋bye bye
164,You’re a seriously strange and sick little man 
165,lol 😂 how’s it going embarrassing daddy  you strange freak of a kid flog just shut up and go back pretending you have a business not just MT’s trust fund
166,So was I until Andrews rescinded his request this afternoon 
167,Labor are so preoccupied with themselves they’ve made Victoria the laughing stock of 🇦🇺Victorians are not welcome in NSW  banned from every other state because this Labor govt has spent the last week fighting themselves and not Covid Victorian Labor is a national disgrace pictwittercom/ayA4LG0Dip
168,Chairman Dan’s government is a farce Why not bring in the ADF to fix up hotel quarantine stuff ups? Victoria is now Corona stuff up capital of Australia 🇦🇺 Hotel quarantine🤦🏻‍♂️Cedar Meats outbreak🤦🏼‍♀️No fines at that ridiculous protest🤷‍♂️Labor has completely stuffed this up https://twittercom/9NewsMelb/status/1276064301325996032 …
169,Looking forward to talking with Pete Stefanovic on SkyNewsAust very soon 
170,Great piece Pearson disgraced himself with those comments https://twittercom/JMasanauskas/status/1275194277908213760 …
171,Daniel Andrews has disappeared today He announced a major cabinet reshuffle after 3 Ministers lost their jobs because of corruption allegations The Labor Party are imploding and Dan’s panicking As AlboMP said-“if you can’t govern the party how can you govern the state” pictwittercom/tMdsWOevHM
172,Compared with Andrews’ language on golf and fishing his message on the protest was pathetically weak VictoriaPolice never threatened fines in the lead up to itfor attendees the protest changed the public mindset it showed the rules weren’t being applied equally to everyone
173,1 of the protesters worked at HM Northland “Deputy CHO Dr Annaliese van Diemen said it was possible the worker acquired the virus at the protest” Another Covid case from HM Northland today That irresponsible protest HAS  quite possibly spread the virus 🦠
174, pictwittercom/XBuxpB3ccz
175, pictwittercom/0VS2TxilQ3
176,1 of the protesters worked at HM Northland “Deputy CHO Dr Annaliese van Diemen said it was possible the worker acquired the virus at the protest” That irresponsible protestwhere almost no illegal protester was fined HAS quite possibly spread the virus 🦠 https://twittercom/rwillingham/status/1274880104791814146 …
177,Good morning everyone  Really looking forward to talking with BenFordhamLive on 2GB873 after the 6am news 
178,No mate the government lied it will never admit that protest caused this disaster As a concerned citizen you should be questioning government not simply accepting their spin
179,Chairman Dan is a mega foolHe let 10000 hooligans protest without sanctionThis did 1 of 2 things It spread the virus /or secondly it signaled to everyone elsethis virus is no big deal he’s letting these protesters get on the bongs why can’t the rest of us get on the🍺? https://twittercom/DanielAndrewsMP/status/1274649387726024704 …
180,Really looking forward to talking with RitaPanahi rowandean and pwafork on SkyNewsAust Outsiders very soon 
181,Good to see ShaunLeaneMP liked my tweet I think he’s ‘confused’ and probably should retire for the evening pictwittercom/bLiH6a6Jcr
182,You have proven this analysis from the theheraldsun  about you from 2016 💯 accurate with your ‘confused’ contribution this evening pictwittercom/lNicVWEGIh
183,Chairman Dan has blamed Victorian family gatherings “getting on the beers” for a spike in Covid-19 What about 10000 illegal protesters “getting on the bongs?”Dan’s hypocrisy of not applying the law equally has resulted in further pain for everyone who has done the right  thing https://twittercom/theage/status/1274217283964080133 …
184,And Chairman Dan let 10000 people illegally go protesting 2 weeks ago  coincidence much ? https://twittercom/3AW693/status/1274191777327546368 …
185, pictwittercom/AvodG87cYu
186,Yes
187,Thanks 304 followers 😂👍
188,And you say horrible things about Jewish people 
189,Bevan has no hair no friends  no followers He’s a tool Sod off mate
190,Well said Dom https://twittercom/talkRADIO/status/1273525908465426432 …
191,In 2016 J_C_Campbell made this observation about ShaunLeaneMP “The suspicion was that Jennings had put him up to it given the widespread view that Leane’s head is a vase in which Jennings arranges the flowers”Who does the 🌷 arranging now ? https://wwwgooglecomau/amp/s/ampheraldsuncomau/news/victoria/victorias-special-minister-of-state-highly-intelligent-to-some-sneaky-to-others/news-story/eac46eb6be6c5ad7579d78b1cf9084c3 …
192,Victorian taxpayers  The clown 🤡 pictured below is about to become a Minister in Chairman Dan’s regime His name is Shaun LeaneHe will be paid a base salary of $352000I’m sure this must reassure everyone that this corrupt government is in good hands pictwittercom/XmCUXIO4um
193,A low grub - this Byrne fellow will be gone by tomorrow The whole tawdry sick  brutal underbelly of modern Labor is on display for the nation to see Extraordinary revelations by fergusonjw https://twittercom/9NewsMelb/status/1273247200026320896 …
194,At least SA’s state government led by great bloke marshall_steven isn’t corrupt 
195,I am sure Twiggy will be over the moon with this  https://twittercom/rachelbaxendale/status/1273152762889543682 …
196,This was worse  https://twittercom/10newsfirstadl/status/1273073932422180864?s=21 … https://twittercom/10NewsFirstAdl/status/1273073932422180864 …
197,Absolutely ridiculous 🤦🏼‍♀️ https://twittercom/theheraldsun/status/1273103345742499845 …
198,Chairman Dan and his coup great analysis by J_C_Campbell https://twittercom/J_C_Campbell/status/1273042374382346240 …
199,Well said I’m going to buy a year’s supply of Coon cheese 🧀 too
200,Does Victoria Police and IBAC have jurisdiction to investigate a federal MP’s office ?
201,When asked by BenFordhamLive on 2GB873 AlboMP said he hadn’t spoken to AnthonyByrne_MP about how cctv from his electorate office ended up with 60Mins - has a federal MP’s office been bugged? Or has this MP or his staff leaked video of nefarious activity in his own office? https://twittercom/gregbrown_TheOz/status/1272704070587842560 …
202,Drive-by political machine gunning of Somyurek by various forces within federal and state Labor this is absolute 🥇 from fergusonjw  https://wwwtheaustraliancomau/commentary/adem-somyurek-branch-stacking-sacking-scandal-internal-war-to-smother-victorian-alp/news-story/aeb7aca7ebeef7718ade925ef13eaa2 …
203,Thanks 103 followers lol 😂
204,AlboMP lied on abc730 He knows which MP’s CCTV was leaked to 60Mins So does everyone else it was AnthonyByrne_MP If Albo has any decency or genuine interest in getting to the bottom of these deplorable revelations then he should refer this extraordinary leak to the AFP pictwittercom/bQds0T2dRI
205,Let’s see what fantasies BrendanDonohoe7 comes up with tomorrow to spin the corrupt Labor government he works for out of this debacle
206,You’re seriously wondering what side of the fence BrendanDonohoe7 is on ? It’s been obvious for years  https://twittercom/heidimur/status/1272438773796626432 …
207,"Victoria is miles behind NSW TABs opened  you could have a 🍺 without food weeks ago Today the NSW govt announced it will scrap the limit of 50 people at cafes  restaurants on July 1with the number of people allowed limited by the rule of ""one person per 4 square metres"""
208,"The NSW govt announced it will scrap the limit of 50 people at cafes  restaurants on July 1with the number of people allowed to be limited by the rule of ""one person per 4 square metres"" Because of Chairman Dan’s rules Victoria’s hospitality sector is being left behind by NSW https://twittercom/vicchamber/status/1272008108382937088 …"
209,Don’t worry everyone - you must continue to work from home - but  10000 people can illegally gather and go protestingOnly 3 protesters were finedThis is becoming a joke 😡🤦🏼‍♀️🤷🏼 https://twittercom/DanielAndrewsMP/status/1272003515179659265 …
210,Anti-Israel anti-Jew protests in Paris Just horrendous https://twittercom/HillelNeuer/status/1271949648270409730 …
211,Anti-racist they say but anti-Israel and anti-Jew Horrendous and terrifying https://twittercom/HillelNeuer/status/1271950321737183234 …
212,Despicable antisemitic grubs the lot of them
213,The anti-Jew anti-Israel hateful underbelly of the hard left is on show for the world to see in France Shame on these awful people Shame on them https://twittercom/HillelNeuer/status/1271939980286472197 …
214,Just to clarify the logic of this Labor Govt full of wowsers They have allowed 10000 people to completely ignore their Covid rules and protest and only fined 3 people but decent law abiding Victorians are still banned from a punt at their local TAB 🤷‍♂️
215,So Vic punters have to wait another weekwith more business disappearing over the borderNSW allowed a punt at a TAB weeks ago why can’t they be opened now? Why is Vic so far behind NSW? Let me guess it’s the VictorianCHO advice ? But where is the science  there is none https://twittercom/MartinPakulaMP/status/1271962852316733442 …
216,Thanks Chairman Dan  That’s so good of youFYI you could have a beer weeks ago in NSW but don’t worry 😉 thousands of people could protest in Melbourne and only three of them were fined   Victoria is a national embarrassment https://twittercom/7NewsMelbourne/status/1271962372018597888 …
217,PM slams extremist attack on Howard and Abbott statues http://wwwheraldsuncomau/news/victoria/news-story/061da1ecead13da0eb5230c8bd8b5ae6 …
218,Those that vandalised Churchill’s statue; attempting to erase history in 🇦🇺  around the world are deluded History is to be learnt from For those who wish to understand their past and so to genuinely improve the future destroying history is as fascist as you get
219,I wonder what these brave souls and their neighbours and all who fought to defeat Hitler would make of the behaviour of possibly their grand children defacing Churchill’s statue - not because it’s him but of what he stood for  what the 🇬🇧 people sacrificed for victory ? pictwittercom/psDvcLodBC
220,This is a plaque in Dulwich South London commemorating the murder of innocent British citizens by a German V2 bomb in 1944 Those murdered and their neighbours followed Churchill despite the hardships because the future of the free world depended on victory over Hitler pictwittercom/7792qja1A9
221,Even more so than it actually was 🤦🏻‍♂️
222,Lol 😂 so true I was expecting the last 5 mins to become a typical debacle
223,This is so refreshing thanks Sophie  After the horrendous behaviour by some defacing the statue of Winston Churchill in Parliament Square this should remind us that those criminal hooligans are a minority of the 🇬🇧 people  the quiet majority love 🇬🇧  respect their greatest PM
224,Woeful game happy melbournefc won but that last quarter was awful from the Dees https://twittercom/3AWNeilMitchell/status/1271727724722180096 …
225,The Health Minister JennyMikakos has tweeted this morning too perhaps she could do her job and inform Victorians of new Covid cases?I suspect she doesn’t want to answer questions about more illegal protesters  the risk they pose to the community of further spreading the virus
226,This Minister is pretty active on social media today  2 mins ago about footy - but I’m sure he could disclose new Covid cases ? jodilee_7 https://twittercom/MartinPakulaMP/status/1271647098937552896 …
227,A restaurant owner is threatened with a fine for having 1 extra person under stringent Covid rules whilst 10000 protesters got away with a free for allOnly 3 fines for that illegal gathering It’s just wrongit’s unfair but what would you expect in Chairman Dan’s Victoria? https://twittercom/SebCostello9/status/1271631094681485312 …
228,Police have issued ONLY 3 $1600 fines for last weekend’s illegal protestPolice say no further action will be takenWhat a joke in Chairman Dan’s Victoria the law doesn’t apply equally to everyone3 fines  9997 to go it's only fair pictwittercom/JKJLeSWDzD
229,What a pathetic joke There is no rule of law in Victoria Chairman Dan was more interested in cancelling Mother’s Day ANZAC Day and fining a mum teaching her daughter to drive than 10000 left wing activists who have possibly started a second wave of the virus 🦠 https://twittercom/rwillingham/status/1271268053691424769 …
230,Because the answer is zero 🤦🏼‍♀️ https://twittercom/tonytardio/status/1270909468818108417 …
231,Chairman Dan has Chinese Communist Party operatives working with him without vetting by ASIO  other security servicesDaniel Andrews undermines Australia’s national interest and 🇦🇺 foreign policy Why is the Premier of Victoria so committed to giving propaganda wins to Beijing? https://twittercom/tminear/status/1270852203717160961 …
232,These people who believe they are above the Covid laws are a bunch of flogs They should have the book thrown at them by weak Chairman Dan These self indulgent fringe dwellers particularly the organisers have endangered the entire community and for that they should be charged
233,Self-absorbed activists kill off commonsense - great piece by fergusonjw https://wwwtheaustraliancomau/commentary/coronavirus-black-lives-matter-protest/news-story/32a8b87460e32647047b4cc570f2d39f …
234,Those crooks that broke the Covid laws with their illegal gatheringthat endangered all of usmust be punished Daniel Andrewsthrough his own weakness has potentially enabled the further spread of the virusensuring restrictions last longer for all decent law abiding citizens https://twittercom/tminear/status/1270859203616272385 …
235,This selfish individual who tested positive for Covid-19 after attending that illegal gathering must be fined by the state govt for putting the community at riskso should thousands of other activists Chairman Dan’s weakness allowing that illegal protest is a complete debacle https://twittercom/abcmelbourne/status/1270884076107395072 …
236,What a stupid comment A former PM and Speaker qualify from either side of politics but I believed Bettina Arndt shouldn’t receive an award so I wrote to the GG in FebThe way Mike Carlton has abused women on twitter -you of all people wouldn’t support his award surely?
237,Are you alleging the PM said that people could protest May ?
238,You clearly are completely stupid I did in February https://wwwgooglecomau/amp/s/ampabcnetau/article/11992082 …
239,What a complete legend 🙏👏👍😇 https://twittercom/9NewsMelb/status/1270564936641466368 …
240, pictwittercom/MuBzhkrw56
241,My letter to the Council for the Order of Australia formally requesting that Mike Carlton’s AM be cancelled because of his long history of verbal abuse towards Jews and women which has brought disrepute on the Order of Australia SharriMarkson ByClare NicolleFlint pictwittercom/xcOWbykhcS
242,Hey MartinPakulaMP you should read remember and reflect on Hawke’s speech Try and get your Supreme Leader to do the same Whatever happened to the old Labor right of Hawke Keating and some moral fortitude regarding Communists? https://twittercom/CanberraInsider/status/1270147346207084544 …
243,The Andrews Labor government must reject this crazy idea from YVWater They are not property developers They’re a water authority What YVWater is proposing will expose the taxpayer to significant risk it’s like the Cain-Kirner era all over again https://twittercom/rachelbaxendale/status/1270290457952575490 …
244, pictwittercom/telXFOzuu8
245,Life in Daniel Andrews’ Victoria10000 people gather to protest outside Parliament House👍- no one is fined or moved onA few fisherman turn up to Rye Pier 👎very bad Moved away by police The double standards are infuriating for all decent law abiding Victorians pictwittercom/bSWSRP64DX
246,Tony take a bow 💯 correct again https://twittercom/tonytardio/status/1270180683021836288 …
247,Let the record reflect that this eminent Australian who ought to know better is condoning the mass and illegal gatherings that occurred on the weekend that have endangered the entire country I give up trying to understand the logic of people like Ms Rein https://twittercom/Therese_Rein/status/1270124409299169281 …
248,Has anyone been fined yet for illegally gathering on Saturday ?
249,“Avoiding crowds ” lol 😂 you’ve got to be kidding you let 10000 protesters congregate in close proximity on Saturday and yet the police cleared Rye Pier  you lot are a complete farce Maybe apply the law equally to everyone and you will have some credibility
250,“Let’s keep being careful engaging in physical distancing” lol 😂 Except if you’re protesting with 10000 others that your government did nothing to stopThe hypocrisy of Labor is breathtakingHas anyone been fined yet for attending the illegal gathering on Saturday? https://twittercom/JennyMikakos/status/1270138148534644736 …
251,Earlier this year I wrote to the Honours Secretariat asking that Bettina Arndt’s AM be cancelled It’s time for an independent review into the process of how gongs are awardedwe need greater transparency as there are too many unworthy fringe dwellers slipping through the cracks
252,Great piece from SharriMarkson in today’s dailytelegraph Mike Carlton should not be awarded an Order of Australia His disgusting comments about women and Jews should have ruled him out I will be writing to the Honours Secretariat today asking for his AM to be cancelled pictwittercom/DBKhVniOO6
253,You monumental hypocrite You did nothing to stop a protest of 10000 on the weekendendangering all decent people who have adhered to your often stupid rules Don’t lecture us anymore with your glib nonsense You’ve lost all credibility no Victorian can take you seriously https://twittercom/DanielAndrewsMP/status/1269885617116114944 …
254,Looking forward to talking with Bolt_RSS on SkyNewsAust very soon 
255,Congratulations mate
256,Currently queuing up for a coffee with a mate Everyone waiting patiently as names and contact details are collected Decent people adhering to the law unlike the protesters on the weekend who did whatever they like with NO consequences Chairman Dan’s Victoria is a joke pictwittercom/G0NsJn6FXm
257, pictwittercom/ivSzA8C1MF
258,No mate I said it on Friday and Saturday - see below
259,What a self indulgent disgrace He should be fined like everyone else who broke the law on Saturday at that selfish protest https://twittercom/3AW693/status/1269849693518884866 …
260,Looking forward to talking with DeeDeeDunleavy on 3AW693 after the 1pm news 
261,💯 correct Tony Well said https://twittercom/tonytardio/status/1269766204249407489 …
262,Yes I did you idiot
263,Leak nails itJoshFrydenberg and ScottMorrisonMP defend and uphold Australia’s economic sovereignty Meanwhile the Labor Premier of Victoria Chairman Andrews signs propaganda deals with Communist China undermining Australia’s national interest pictwittercom/FZsquZJH5y
264,These soldiers helped to save the world from Nazi Germany Thank God for their supreme bravery and sacrifice D-Day 6 June 1944 Lest We Forget pictwittercom/XL1CZKtm8S
265,Today is D Day 🇨🇦🇬🇧🇺🇸 forces landed at Normandy and began the push to Berlin to crush Nazi Germany - saving western civilisation Thank God for their sacrifice and bravery Lest We Forget https://twittercom/COLRICHARDKEMP/status/1269185249906511872 …
266,Shocking coverage of today’s illegal protest by 9 and 7 No voice highlighting the utter hypocrisy of the state govt  their covid restrictions Everyone who obeyed the law; closed down their businessmissed funerals cancelled weddingsare furious in the suburbs tonight
267,Given 0 of these people have been finedwill the Covid lockdown now cease for everyone?Can we go to the footy?The govt provoked this protest by making it clear no one will be finedDaniel Andrews owes everyone who has adhered to the rules at great personal sacrifice an apology https://twittercom/abcmelbourne/status/1269145859733639168 …
268,The rule of law officially doesn’t exist in the state of VictoriaHowever reasonable the cause is this public gathering is illegalBy not enforcing the Covid rules the Andrews Labor government is endangering the health of the whole community What a complete disgrace https://twittercom/abcrothers/status/1269118847098871810 …
269,Daniel Andrews Covid laws;ANZAC Day cancelledBanned from visiting mum on Mother’s DayAndrews said “a game of golf isn’t worth a life” today 1000’s of people are protesting - totally illegal no fines for any of them This isn’t fair It’s just wrong pictwittercom/kEovNQlCIe
270,For everyone who obeyed the law; closed down their businessmissed funerals cancelled weddings you have every right to be furiousIn Chairman Dan’s Victoria selfish protesters can do what they like but a restaurant owner with 21 patrons will be finedIt’s just not fair https://twittercom/SimoLove/status/1269117595657007105 …
271,Looking forward to talking with annelisenews on SkyNewsAust very soon 
272,The Melbourne storm are playing at AAMIPark tonight - what would happen if they threw open the gates for 30000 fans? This is why the rule of law is so important for our democracy one rule for all not just one rule for law abiding citizens and another for protesters
273,No one should be fined by Emperor Dan for any breach of a Covid direction from tomorrow if the law isn’t enforced on these protesters who will be breaking the law The rule of law will be irretrievably broken in Victoria if these grossly selfish protesters aren’t fined https://twittercom/SkyNewsAust/status/1268679009128165381 …
274,Looking forward to the chat on SkyNewsAust with peterstefanovic  https://twittercom/peterstefanovic/status/1268655589439102977 …
275,In 1989 the greatest Labor PM Bob Hawke was on the side of the Chinese people and freedomWatch Hawke’s speech again from 31 years ago regarding the Tiananmen Square massacre Moving stuff from the old Labor right What has happened to you people ? https://youtube/6-zn_yNGdQo 
276,Not once has Pakula criticised the People’s Republic of China’s leadership for tearing up their treaty obligations regarding the freedom of Hong Kong noting today is the 31st anniversary of the Tiananmen Square massacre which the CCP denies ever happened
277,The USA is Victoria's largest source of investment as well as being our second largest two–way trade partner Victoria’s Trade Minister has bagged the US President multiple times in the last monthCompared to the deafening silence re the CCP’s behaviour towards 🇦🇺barley growers https://twittercom/MartinPakulaMP/status/1268426634077466624 …
278,The Health Minister said we “must not attend funerals must not open businesses” and if we do we will be finedThe law is - 20 people only can gather outsideI got pilloried for asking why golf was banned where is the outrage for this hypocrisy for this proposed protest?
279,Watch Bob Hawke's powerful Tiananmen Square speech 31 years after Tiananmen Daniel Andrews is morally bankrupt How far has the Labor Party declined with leaders like Chairman Dan ?I’ve never heard Andrews mention the CCP’s human rights record  https://youtube/6-zn_yNGdQo 
280,This is a test for Daniel Andrews Does the rule of law apply in Victoria? Will the Coronavirus directions the law in our pandemic state of emergency apply equally to each and every Victorian ? https://twittercom/SimoLove/status/1268326662577381377 …
281,Great 👍 show Love listening to BenFordhamLive on 2GB873 https://twittercom/BenFordhamLive/status/1268323118499557376 …
282,The VictorianCHO directions say gatherings of 20 people only outside in Victoria  has this protest been given an exemption?
283,The rule of law will cease to exist in Victoria if the state govt and VictoriaPolice don’t actively discourage citizens from attending this protest Why is there one rule which says you can’t attend funeralsbusinesses closed compulsory to work from home but you can protest? https://twittercom/3AWNeilMitchell/status/1268301246621839360 …
284,Really looking forward to chatting with BenFordhamLive on 2GB873 very soon 
285,I couldn’t have been any clearer I said no one should be protesting whatever the cause
286,Why can some people protest in Melbourne this weekend ? It’s against the Covid Directions Has the VictorianCHO provided an exemption? I’m not disputing the significance and importance of the cause of this protest but why isn’t the law being upheld equally to everyone? https://twittercom/andrew_lund/status/1267959383746424832 …
287,Just let this sink inDaniel Andrews says he won't lecture the Chinese Communist Party on their human rights recordBut he won’t take orders from the federal government about his BRI agreements So whose side is Chairman Dan on here ? 🤷‍♂️ https://wwwtheagecomau/politics/victoria/andrews-says-he-won-t-lecture-beijing-nor-take-orders-from-canberra-20200602-p54ytdhtml … via theage
288,How many communists work for Chairman Dan ? Labor says Nancy Yang has made a “outstanding contribution” to where - the CCP the ALP or both ? https://twittercom/rachelbaxendale/status/1267575283424493568 …
289,You sound like a fruit cake so very sorry no
290,What would you know about running a pub ? Leave it up to publicans 
291,Because funnily enough I don’t like stupid arbitrary nonsensical rules that won’t save anyone from Coronavirus what do you reckon some questioning of those in power ?
292,On this issue do you know why we can buy a 🍺 at a pub without food in NSW but not in Victoria ? Is there a serious reason or is Chairman Dan at it again with his bizarre rules ?
293,Why can you buy a 🍺 at a pub without food in NSW but not in Victoria ? Seems Chairman Dan is at it again with his bizarre puritanical rules Surely he still can’t say it’s to protect us from ourselves? He really is the most tedious wowser around
294,Bit hard to eat at Pelligrini’s if you are banned from the CBD like most workers thanks to Chairman Dan https://twittercom/aap_photos/status/1267315783635329025 …
295,Labor’s BRI agreement is not supported by 🇦🇺 diplomats or intelligence community because it’s entirely contrary to 🇦🇺national interests so we oppose itIf the Coalition wins the next electionthis dud deal will be torn up My piece in today's australian https://wwwtheaustraliancomau/commentary/premier-andrews-is-in-too-deep-over-belt-and-road-initiative-deal/news-story/d105a7ac7b6fe8c6efcc8f442497d2b0 …
296, pictwittercom/x0LEfKHjWc
297, pictwittercom/5RE5qxMTK6
298,Better than nothing mate I reckon FOXNRL ratings in Melbourne will be massive tonight
299,It was good call I’d completely forgotten about that game
300,Joe Ofahengaue playing for the brisbanebroncos is the nephew of World Champion flanker Willie Ofahengaue pictwittercom/NsP01Ru8cJ
301,Good question SebCostello9 I hope when Union returns  in July 🤷‍♂️ they consider it as in League your jersey number in Rugby reflects your positionTrivia question for Seb who is the player on the field tonight who is the nephew of a wallabies legend from the 1990’s ?
302,Well done NRL for getting League back Great clash between  brisbanebroncos and TheParraEels - benambrabill is a huge fan Congratulations to FOXNRL - fantastic coverage DavidHodgettMP
303,The Belt and Road Initiative signed between Chairman Dan and Communist China is traitorous pictwittercom/SvqLNgWpnV
304,“its smashing up of Christian churches its actions in the South China Sea If his answer is that these are matters for a federal government not a state government then that should also have been his answer on the BRI”
305,As Greg Sheridan writes “Andrews has set himself up as making geostrategic foreign policy decisions against Canberra He should now answer questions on Beijing’s actions in Hong Kong its internment of a million Uighurs its imprisonment of human rights lawyers”
306,Andrews has put China above his nation He’s a traitor https://wwwtheaustraliancomau/commentary/andrews-has-put-china-above-his-party-and-his-nation/news-story/5596583c6f4d5fe038f818181c538ef5 …
307, pictwittercom/75iF38xtA6
308,Well said Ashley
309,Daniel Andrews’ shameful Belt and Road deal with the Chinese Communist Party is treacherous and undermines Australia’s national interest Why is the Premier putting China’s interests ahead of Victoria’s? pictwittercom/H3CnxpBdOI
310,Daniel Andrews’ dirty BRI deal with the Chinese Communist Party is treacherous and undermines Australia’s national interest Why is the Premier putting China’s interests ahead of Victoria’s? https://wwwtheaustraliancomau/nation/politics/victorian-premier-daniel-andrews-defends-relationship-with-china/news-story/b381ed73aae79f38affa2320fec69d57 …
311,The🇨🇳Consulate and Daniel Andrews must stop pedalling Communist propaganda The Consulate has labelled critics of BRI as “deliberately discrediting for political purposes” Andrews argues having a strong trade relationship with 🇨🇳 must be through BRI he’s dangerously clueless https://twittercom/damonTheOz/status/1265490580173279232 …
312,KosSamaras the national security of this country is more important than your pathetic little gamesThe tale you briefed noeltowell yesterday was as ridiculous as it was dangerous As RichardMarlesMP said a fed Labor govt won’t be so reckless as to sign Belt  Road with 🇨🇳
313,"KosSamaras “one Labor MP told theage it was a ""bad look to be bragging about ignoring national security advice to win a few votes"" https://wwwtheagecomau/politics/federal/flagrantly-reckless-victoria-signed-china-infrastructure-deal-without-consulting-dfat-20200526-p54wfnhtml …"
314,State secrecy in Victoria under Chairman Dan would impress his comrades in Communist China The histrionics from some when I labelled Dan “the Chairman” or “Dictator” should go and read the theage - you might learn how this truly rotten Labor government operates pictwittercom/xAQKVJ7OIH
315,As Peter Jennings former Deputy Secretary at DeptDefence said  “ultimately BRI is a political strategy designed to further the aims and interests of the Chinese Communist Party” Why is Chairman Dan aiding and abetting the aims and interests of an awful Communist dictatorship?
316,Labor’s Belt  Road agreement with Communist China undermining our national security signed without the knowledge of dfat is jeopardising our relationship with 🇦🇺most important ally the US 🇺🇸 as SecPompeo said It’s a dirty deal  which must be terminated by Chairman Dan now https://twittercom/Gallo_Ways/status/1265277603159523330 …
317,Former Dep Sec of DeptDefence  Director of ASPI_org Peter Jennings describes Chairman Dan’s Belt  Road deal with Communist 🇨🇳 as “Flagrantly recklessin not seeking federal advice he is choosing to be fully ignorant of🇦🇺 national security concerns” https://wwwtheagecomau/politics/federal/flagrantly-reckless-victoria-signed-china-infrastructure-deal-without-consulting-dfat-20200526-p54wfnhtml …
318,Dear LordMayorMelb why are you giving ratepayers money to this unhinged fruit cake ? Can we have an answer please ? IanRoyall JMasanauskas RitaPanahi ClayLucas pictwittercom/dPaH3wOSVB
319, pictwittercom/gMO8ej4Fke
320,Comrade Dan follows Silk Road https://wwwtheaustraliancomau/commentary/editorials/comrade-dan-follows-silk-road/news-story/e66613632bda2b80493b3a03bbc71c3e …
321,Labor was happy to see the back of Sam Dastyari Will timpallas be removed as well? Tim’s behaviour is almost as bad as Sam’sRoss Babbage former head of strategic analysis at ONA said about Dastyari “there is evidence that he may have been recruited as an agent of influence” https://twittercom/Gallo_Ways/status/1262704205669609474 …
322,What would Ross Babbage former head of strategic analysis at the Office of National Assessments say about timpallas comments supporting the Chinese Communist Government? https://wwwafrcom/politics/sam-dastyari-is-a-chinese-agent-of-influence-exintelligence-chief-20171203-gzxktb …
323,timpallas is getting close to the language and behaviour that cost Sam Dastyari his seat in the Senate Why is the Treasurer of Victoria such a patsy of the Chinese Communist Government ? https://twittercom/rachelbaxendale/status/1262618663925854208 …
324,About to talk with TomElliott3AW on 3AW693
325,Good call from cityofmelbourne - councils around Victoria must follow their lead State government must act if councils refuse to provide this much needed relief to families and businesses https://twittercom/IanRoyall/status/1262541788373385216 …
326,This is exactly what the Liberals and Nationals are calling for from Local Government - freeze 🥶 rates invest invest investIf councils don’t the state government must force councils to freeze rates https://twittercom/SimoLove/status/1262543320745603073 …
327,Good on cityofmelbourne - all councils must do this and if they don’t the state government must compel them Smaller rural councils will need assistance from the state government https://twittercom/andrew_lund/status/1262541660845518849 …
328,“gigolo hare-brained hillbilly ninny scumbag sucker thug dimwit tripe and drivel and barnyard bullies”The hypocrisy of the political and media left in this country but particularly in Melbourne is insufferable Get used to it we won’t be bullied by you lot
329,The same lefties who adore Paul Keating PJK hurled some of this at his opponents”harlots sleazebags frauds pigs mugs clowns boxheads criminal intellects loopy crims stupid foul-mouthed grub piece of criminal garbage dullard alley cat bunyip aristocracy clotfop
330,You of all people should understand there are many ways to engage with the public and many believe Andrews is governing in an arbitrary and arrogant fashion Perfect example was cafes announcement today which Dan was dragged to through community and political opposition
331,What about your shameless hypocrisy? I asked in February what retirement gig the Labor Party was giving him  you became distressed at that assertion  funnily enough he’s now been appointed deputy chief spinner - have you anything to say ?
332,Jane it’s a year since Labor lost the federal election and you’re not tweeting from New Zealand - I assume ? What happened ? Auckland not to your taste ? All the best
333,Anything from CameronBaud7 or bellfrances ?
334,What’s your preferred label for Daniel Andrews ? Poll closes 6pm Monday
335,Fair point Stay tuned
336,Still no apology from annaliesevd Zero understanding that making partisan political tweets like attacking Liberals particularly the federal government and PM as a senior public servant is totally unacceptable Should have gone will probably get promoted by Chairman https://twittercom/heidimur/status/1261814302253572096 …
337,Once again Chairman Dan has been dragged kicking and screaming to putting Victorians’ interests ahead of his power tripHe said he wasn’t going to think about opening cafes until 31 May if at all How much anxiety has Dan caused small businesses and their staff in the meantime? https://twittercom/tminear/status/1261804411606585344 …
338,Again proving Dictator Dan is closer to China than Canberra Cafe owners in 7 States and Territories get to choose whether they serve patrons -but in Victoria Chairman Dan overrides health advice and makes a business decision for them prolonging their losses for another 2 weeks https://twittercom/DougalBeatty/status/1261802709969068032 …
339,So opening cafes and restaurants is being treated by Dictator Dan like the schools announcement String people along leaks to media no clear roadmap for people’s whose very livelihoods are resting on these decisions Stop causing heartache with your power trips Dan https://twittercom/msanto92/status/1261775853400162304 …
